protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0,circuit9367.qasm,0,1,1,✓,62
FK12,malicious,0,circuit6663.qasm,0,0,0,✓,42
FK12,malicious,0,circuit8556.qasm,0,0,0,✓,39
FK12,malicious,0,circuit4932.qasm,0,1,1,✓,56
FK12,malicious,0,circuit1480.qasm,0,1,1,✓,61
FK12,malicious,0,circuit2017.qasm,0,1,1,✓,65
FK12,malicious,0,circuit3647.qasm,0,1,1,✓,54
FK12,malicious,0,circuit0571.qasm,0,0,0,✓,39
FK12,malicious,0,circuit3840.qasm,0,0,0,✓,42
FK12,malicious,0,circuit2587.qasm,0,1,1,✓,74
FK12,malicious,0,circuit3751.qasm,0,1,1,✓,64
FK12,malicious,0,circuit9638.qasm,0,0,0,✓,39
FK12,malicious,0,circuit3669.qasm,0,0,0,✓,40
FK12,malicious,0,circuit5613.qasm,0,0,0,✓,25
FK12,malicious,0,circuit2696.qasm,0,1,1,✓,69
FK12,malicious,0,circuit4871.qasm,0,1,1,✓,70
FK12,malicious,0,circuit6388.qasm,0,0,0,✓,33
FK12,malicious,0,circuit6547.qasm,0,0,0,✓,27
FK12,malicious,0.1,circuit0255.qasm,3,0,0,✓,36
FK12,malicious,0.1,circuit0905.qasm,4,1,1,✓,63
FK12,malicious,0,circuit0086.qasm,0,0,0,✓,30
FK12,malicious,0,circuit3783.qasm,0,1,1,✓,62
FK12,malicious,0.1,circuit6547.qasm,3,0,0,✓,38
FK12,malicious,0.05,circuit8024.qasm,2,1,1,✓,54
FK12,malicious,0,circuit4909.qasm,0,0,0,✓,36
FK12,malicious,0,circuit8389.qasm,0,0,0,✓,27
FK12,malicious,0,circuit2471.qasm,0,0,0,✓,32
FK12,malicious,0.05,circuit9081.qasm,0,1,1,✓,74
FK12,malicious,0,circuit0581.qasm,0,1,1,✓,69
FK12,malicious,0,circuit0427.qasm,0,0,0,✓,34
FK12,malicious,0,circuit8024.qasm,0,1,1,✓,61
FK12,malicious,0.05,circuit8753.qasm,2,0,0,✓,42
FK12,malicious,0.1,circuit2696.qasm,5,1,1,✓,63
FK12,malicious,0.05,circuit6547.qasm,1,0,0,✓,44
FK12,malicious,0.1,circuit6388.qasm,2,0,0,✓,35
FK12,malicious,0.05,circuit6388.qasm,1,0,0,✓,28
FK12,malicious,0,circuit8753.qasm,0,0,0,✓,33
FK12,malicious,0.1,circuit2264.qasm,2,0,0,✓,30
FK12,malicious,0,circuit2204.qasm,0,0,0,✓,45
FK12,malicious,0.05,circuit0730.qasm,1,1,1,✓,54
FK12,malicious,0.05,circuit3840.qasm,2,0,0,✓,40
FK12,malicious,0.05,circuit5432.qasm,3,0,0,✓,36
FK12,malicious,0.05,circuit6104.qasm,1,0,0,✓,26
FK12,malicious,0.05,circuit6663.qasm,3,0,0,✓,47
FK12,malicious,0.05,circuit0255.qasm,3,0,0,✓,28
FK12,malicious,0.05,circuit7085.qasm,3,0,0,✓,34
FK12,malicious,0.1,circuit8725.qasm,2,0,0,✓,31
FK12,malicious,0.05,circuit2419.qasm,2,1,1,✓,55
FK12,malicious,0.1,circuit8433.qasm,5,0,0,✓,38
FK12,malicious,0.05,circuit2204.qasm,3,0,0,✓,37
FK12,malicious,0.05,circuit4932.qasm,3,1,1,✓,55
FK12,malicious,0.05,circuit8043.qasm,3,0,0,✓,35
FK12,malicious,0.05,circuit7197.qasm,1,1,1,✓,60
