p_ent,width,depth,bqp_error,circuit_label,traps_passed,nr_failed_test_rounds,test_rounds
1e-06,3,5,1e-1,circuit001.qasm,True,0,100
1e-06,3,5,1e-1,circuit023.qasm,True,0,100
1e-06,3,5,1e-1,circuit057.qasm,True,0,100
1e-06,3,5,1e-1,circuit070.qasm,True,0,100
1e-06,3,5,1e-1,circuit072.qasm,True,0,100
1e-06,3,5,1e-1,circuit074.qasm,True,0,100
1e-06,3,5,1e-1,circuit106.qasm,True,0,100
1e-06,3,5,1e-1,circuit114.qasm,True,0,100
1e-06,3,5,1e-1,circuit115.qasm,True,0,100
1e-06,3,5,1e-1,circuit135.qasm,True,0,100
1e-06,3,5,1e-1,circuit123.qasm,True,0,100
1e-06,3,5,1e-1,circuit150.qasm,True,0,100
1e-06,3,5,1e-1,circuit169.qasm,True,0,100
1e-06,3,5,1e-1,circuit171.qasm,True,0,100
1e-06,3,5,1e-1,circuit173.qasm,True,0,100
1e-06,3,5,1e-1,circuit175.qasm,True,0,100
1e-06,3,5,1e-1,circuit181.qasm,True,0,100
1e-06,3,5,1e-1,circuit184.qasm,True,0,100
1e-06,3,5,1e-1,circuit196.qasm,True,0,100
1e-06,3,5,1e-1,circuit222.qasm,True,0,100
1e-06,3,5,1e-1,circuit236.qasm,True,0,100
1e-06,3,5,1e-1,circuit254.qasm,True,0,100
1e-06,3,5,1e-1,circuit255.qasm,True,0,100
1e-06,3,5,1e-1,circuit258.qasm,True,0,100
1e-06,3,5,1e-1,circuit268.qasm,True,0,100
1e-06,3,5,1e-1,circuit293.qasm,True,0,100
1e-06,3,5,1e-1,circuit271.qasm,True,0,100
1e-06,3,5,1e-1,circuit303.qasm,True,0,100
1e-06,3,5,1e-1,circuit333.qasm,True,0,100
1e-06,3,5,1e-1,circuit346.qasm,True,0,100
1e-06,3,5,1e-1,circuit343.qasm,True,0,100
1e-06,3,5,1e-1,circuit348.qasm,True,0,100
1e-06,3,5,1e-1,circuit375.qasm,True,0,100
1e-06,3,5,1e-1,circuit376.qasm,True,0,100
1e-06,3,5,1e-1,circuit399.qasm,True,0,100
1e-06,3,5,1e-1,circuit404.qasm,True,0,100
1e-06,3,5,1e-1,circuit411.qasm,True,0,100
1e-06,3,5,1e-1,circuit434.qasm,True,0,100
